State Name,Num_Positive_Tweets,,
Alabama,273,93,
Alaska,111,170,
Arizona,350,271,
Arkansas,70,94,
California,306,486,
Colorado,0,378,
Connecticut,107,60,
Delaware,333,256,
Florida,497,96,
Georgia,83,437,
Hawaii,177,193,
Idaho,24,287,
Illinois,111,343,
Indiana,214,98,
Iowa,340,466,
Kansas,201,358,
Kentucky,198,181,
Louisiana,205,305,
Maine,33,475,
Maryland,21,50,
Massachusetts,61,159,
Michigan,177,13,
Minnesota,390,439,
Mississippi,488,126,
Missouri,461,366,
Montana,399,419,
Nebraska,0,0,
Nevada,397,91,
New Hampshire,46,75,
New Jersey,175,366,
New Mexico,284,370,
New York,223,198,
North Carolina,0,461,
North Dakota,44,62,
Ohio,129,92,
Oklahoma,179,326,
Oregon,172,113,
Pennsylvania,109,182,
Rhode Island,206,0,
South Carolina,109,485,
South Dakota,11,347,
Tennessee,192,281,
Texas,271,239,
Utah,173,470,
Vermont,416,181,
Virginia,357,148,
Washington,45,498,
West Virginia,29,106,
Wisconsin,107,216,
Wyoming,268,68,
